,기업공시코드,시장
950,A053450,코스닥
951,A004140,코스피
952,A006340,코스피
953,A091580,코스닥
954,A034220,코스피
955,A215090,코스닥
956,A069460,코스피
957,A012280,코스피
958,A253840,코스닥
959,A033500,코스닥
960,A060280,코스닥
961,A011040,코스닥
962,A088290,코스닥
963,A053060,코스닥
964,A217820,코스닥
965,A241820,코스닥
966,A012860,코스닥
967,A100590,코스닥
968,A277410,코스닥
969,A012160,코스피
970,A085810,코스닥
971,A089590,코스피
972,A244460,코스닥
973,A002900,코스피
974,A117730,코스닥
975,A065570,코스닥
976,A023800,코스피
977,A256940,코스닥
978,A226340,코스닥
979,A241590,코스피
980,A002070,코스피
981,A900280,코스닥
982,A178320,코스닥
983,A056000,코스닥
984,A272110,코스닥
985,A064350,코스피
986,A069330,코스닥
987,A050320,코스닥
988,A072770,코스닥
989,A054540,코스닥
990,A263050,코스닥
991,A900300,코스닥
992,A032800,코스닥
993,A306620,코스닥
994,A003490,코스피
995,A086900,코스닥
996,A091810,코스피
997,A070300,코스닥
998,A900260,코스닥
999,A186230,코스닥
1000,A033310,코스닥
1001,A031310,코스닥
1002,A166480,코스닥
1003,A284620,코스닥
1004,A298690,코스피
1005,A327260,코스닥
1006,A002320,코스피
1007,A268600,코스닥
1008,A302550,코스닥
1009,A037370,코스닥
1010,A187420,코스닥
1011,A311690,코스닥
1012,A058730,코스피
1013,A217330,코스닥
1014,A143210,코스피
1015,A065370,코스닥
1016,A111110,코스피
1017,A217480,코스닥
1018,A027360,코스닥
1019,A307180,코스닥
1020,A183490,코스닥
1021,A243070,코스닥
1022,A140860,코스닥
1023,A038680,코스닥
1024,A226950,코스닥
1025,A036420,코스피
1026,A060260,코스닥
1027,A082920,코스닥
1028,A090150,코스닥
1029,A237690,코스닥
1030,A090740,코스닥
1031,A108490,코스닥
1032,A235980,코스닥
1033,A023790,코스닥
1034,A054450,코스닥
1035,A099320,코스닥
1036,A249420,코스피
1037,A294090,코스닥
1038,A267320,코스닥
1039,A323230,코스닥
1040,A101360,코스닥
1041,A274090,코스닥
1042,A251630,코스닥
1043,A253590,코스닥
1044,A310200,코스닥
1045,A218150,코스닥
1046,A299660,코스닥
1047,A205500,코스닥
1048,A006380,코스피
1049,A293490,코스닥
1050,A347000,코스닥
1051,A246960,코스닥
1052,A007280,코스피
1053,A200670,코스닥
1054,A241840,코스닥
1055,A317240,코스닥
1056,A256840,코스닥
1057,A089140,코스닥
1058,A217500,코스닥
1059,A079160,코스피
1060,A086820,코스닥
1061,A228670,코스닥
1062,A263020,코스닥
1063,A000490,코스피
1064,A228760,코스닥
1065,A221840,코스닥
1066,A133820,코스피
1067,A080720,코스닥
1068,A250060,코스닥
1069,A318000,코스닥
1070,A317120,코스닥
1071,A086670,코스닥
1072,A222420,코스닥
1073,A301300,코스닥
1074,A181340,코스닥
1075,A003220,코스피
1076,A277880,코스닥
1077,A229000,코스닥
1078,A044820,코스피
1079,A267790,코스닥
1080,A225220,코스닥
1081,A308100,코스닥
1082,A170900,코스피
1083,A033240,코스피
1084,A950170,코스닥
1085,A304840,코스닥
1086,A092040,코스닥
1087,A317830,코스닥
1088,A216080,코스닥
1089,A352770,코스닥
1090,A203650,코스닥
1091,A012340,코스닥
1092,A246710,코스닥
1093,A298540,코스닥
1094,A258790,코스닥
1095,A208370,코스닥
1096,A078150,코스닥
1097,A020760,코스피
1098,A090470,코스닥
1099,A290550,코스닥
1100,A299170,코스닥
1101,A264660,코스닥
1102,A033160,코스닥
1103,A034230,코스닥
1104,A214260,코스닥
1105,A322780,코스닥
1106,A086040,코스닥
1107,A261200,코스닥
1108,A194370,코스피
1109,A321550,코스닥
1110,A305090,코스닥
1111,A066910,코스닥
1112,A352940,코스닥
1113,A347860,코스닥
1114,A286750,코스닥
1115,A297890,코스닥
1116,A299030,코스닥
1117,A032300,코스닥
1118,A300120,코스닥
1119,A084110,코스닥
1120,A300080,코스닥
1121,A110790,코스닥
1122,A307280,코스닥
1123,A352820,코스피
1124,A277810,코스닥
1125,A064850,코스닥
1126,A348150,코스닥
1127,A335810,코스닥
1128,A317330,코스닥
1129,A119650,코스피
1130,A213420,코스닥
1131,A053270,코스닥
1132,A007370,코스닥
1133,A247660,코스닥
1134,A080520,코스닥
1135,A252990,코스닥
1136,A226330,코스닥
1137,A033540,코스닥
1138,A020150,코스피
1139,A214610,코스닥
1140,A347700,코스닥
1141,A294630,코스닥
1142,A039980,코스닥
1143,A102940,코스닥
1144,A149980,코스닥
1145,A278650,코스닥
1146,A004910,코스피
1147,A333620,코스닥
1148,A063080,코스닥
1149,A260660,코스닥
1150,A340930,코스닥
1151,A083650,코스닥
1152,A307870,코스닥
1153,A357580,코스닥
1154,A101930,코스닥
1155,A353190,코스닥
1156,A239890,코스닥
1157,A265560,코스닥
1158,A330860,코스닥
1159,A357880,코스닥
1160,A288980,코스닥
1161,A282880,코스닥
1162,A174900,코스닥
1163,A086960,코스닥
1164,A108860,코스닥
1165,A365590,코스닥
1166,A313760,코스닥
1167,A354200,코스닥
1168,A950160,코스닥
1169,A332290,코스닥
1170,A307750,코스닥
1171,A102370,코스닥
1172,A291650,코스닥
1173,A103840,코스닥
1174,A395400,코스피
1175,A052330,코스닥
1176,A338220,코스닥
1177,A112040,코스닥
1178,A377030,코스닥
1179,A000230,코스피
1180,A058450,코스닥
1181,A006110,코스피
1182,A052350,코스닥
1183,A037240,코스닥
1184,A041140,코스닥
1185,A089480,코스닥
1186,A050470,코스닥
1187,A056340,코스닥
1188,A017670,코스피
1189,A018670,코스피
1190,A034730,코스피
1191,A050050,코스닥
1192,A000880,코스피
1193,A035450,코스닥
1194,A008540,코스피
1195,A011090,코스피
1196,A015390,코스닥
1197,A122750,코스피
1198,A007110,코스피
1199,A019550,코스닥
1200,A049950,코스닥
1201,A000320,코스피
1202,A012650,코스닥
1203,A105070,코스닥
1204,A034010,코스닥
1205,A138440,코스피
1206,A123160,코스닥
1207,A074000,코스닥
1208,A001440,코스피
1209,A134790,코스피
1210,A025860,코스피
1211,A066060,코스닥
1212,A000070,코스피
1213,A003940,코스피
1214,A006740,코스피
1215,A035420,코스피
1216,A088700,코스닥
1217,A026250,코스닥
1218,A009010,코스닥
1219,A009280,코스피
1220,A037630,코스닥
1221,A000360,코스피
1222,A012410,코스피
1223,A090120,코스닥
1224,A054930,코스닥
1225,A049000,코스닥
1226,A041440,코스닥
1227,A084670,코스피
1228,A002150,코스피
1229,A036460,코스피
1230,A130960,코스닥
1231,A006370,코스피
1232,A005880,코스피
1233,A004430,코스피
1234,A030200,코스피
1235,A119250,코스피
1236,A005900,코스피
1237,A016800,코스피
1238,A015860,코스피
1239,A161000,코스피
1240,A005430,코스피
1241,A006840,코스피
1242,A089890,코스닥
1243,A080160,코스닥
1244,A001260,코스피
1245,A004150,코스피
1246,A031820,코스피
1247,A083420,코스피
1248,A005620,코스피
1249,A153460,코스닥
1250,A079960,코스닥
1251,A181710,코스피
1252,A003120,코스피
1253,A004270,코스피
1254,A005450,코스피
1255,A003540,코스피
1256,A130660,코스피
1257,A003720,코스피
1258,A006390,코스피
1259,A032620,코스닥
1260,A140910,코스피
1261,A073010,코스닥
1262,A078930,코스피
1263,A003520,코스피
1264,A010060,코스피
1265,A030210,코스피
1266,A126700,코스닥
1267,A008350,코스피
