,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
186,컨버즈,109070,2020-11-09,550,유상증자(제3자배정),기명식 보통,3641958,2003076900
187,롯데칠성음료,005300,2020-11-06,93660,유상증자(제3자배정),기명식 보통,981663,91942556580
188,컨버즈,109070,2020-11-05,550,유상증자(공모증자),기명식 보통,1800000,990000000
189,동부건설,005960,2020-11-03,5000,유상증자(제3자배정),기명식 보통,355,1775000
190,대우조선해양,042660,2020-10-30,40350,유상증자(제3자배정),기명식 보통,84917,3426400950
191,팬오션,028670,2020-10-27,12500,유상증자(제3자배정),기명식 보통,305,3812500
192,엘브이엠씨,900140,2020-10-19,2480,유상증자(구주주배정),기명식 보통,33228150,82405812000
193,신한지주,055550,2020-10-19,29600,유상증자(제3자배정),기명식 보통,39130000,1158248000000
194,한국특강,007280,2020-10-15,1350,유상증자(제3자배정),기명식 보통,20888986,28200131100
195,SK렌터카,068400,2020-10-14,8680,유상증자(제3자배정),기명식 보통,11520700,99999676000
196,비비안,002070,2020-10-06,3305,유상증자(구주주배정),기명식 보통,13000000,42965000000
197,마니커,027740,2020-10-06,534,유상증자(구주주배정),기명식 보통,40000000,21360000000
198,한창,005110,2020-09-29,821,유상증자(구주주배정),기명식 보통,32000000,26272000000
199,쎌마테라퓨틱스,015540,2020-09-24,7530,유상증자(제3자배정),기명식 보통,132801,999991530
200,오리엔트바이오,002630,2020-09-03,696,유상증자(제3자배정),기명식 보통,16770970,11672595120
201,제주항공,089590,2020-08-31,12400,유상증자(구주주배정),기명식 보통,12142857,150571426800
202,쌍방울,102280,2020-08-25,565,유상증자(구주주배정),기명식 보통,100000000,56500000000
203,대덕,008060,2020-08-25,6709,유상증자(공모증자),기명식 보통,5300103,35558391027
204,씨아이테크,004920,2020-08-13,515,유상증자(제3자배정),기명식 보통,1000000,515000000
205,기업은행,024110,2020-08-12,7791,유상증자(제3자배정),기명식 보통,62192786,484543995726
206,세하,027970,2020-08-11,1275,유상증자(구주주배정),기명식 보통,28000000,35700000000
207,이수화학,005950,2020-08-11,7130,유상증자(구주주배정),기명식 보통,7798742,55605030460
208,동부건설,005960,2020-08-04,5000,유상증자(제3자배정),기명식 보통,824444,4122220000
209,CJ CGV,079160,2020-08-04,15850,유상증자(구주주배정),기명식 보통,13938687,220928188950
210,쎌마테라퓨틱스,015540,2020-07-29,4505,유상증자(제3자배정),기명식 보통,1100528,4957878640
211,대한항공,003490,2020-07-24,14200,유상증자(구주주배정),기명식 보통,79365079,1126984121800
212,에이프로젠바이오로직스,003060,2020-07-16,1500,유상증자(주주우선공모),기명식 보통,156917418,235376127000
213,진원생명과학,011000,2020-07-13,6650,유상증자(구주주배정),기명식 보통,11500000,76475000000
214,기업은행,024110,2020-07-09,8685,유상증자(제3자배정),기명식 보통,12412204,107799991740
215,국보,001140,2020-07-08,685,유상증자(제3자배정),기명식 보통,7299270,4999999950
216,교보증권,030610,2020-07-08,6980,유상증자(제3자배정),기명식 보통,28653296,200000006080
217,범양건영,002410,2020-07-07,1000,유상증자(제3자배정),기명식 보통,170,170000
