,기업공시코드,시장
715,A033830,K
716,A033920,Y
717,A034020,Y
718,A034120,Y
719,A034220,Y
720,A034230,K
721,A034300,Y
722,A034310,Y
723,A034590,Y
724,A034730,Y
725,A034810,K
726,A034830,Y
727,A034940,K
728,A034950,K
729,A035000,Y
730,A035080,K
731,A035150,Y
732,A035200,K
733,A035250,Y
734,A035290,K
735,A035420,Y
736,A035460,K
737,A035510,Y
738,A035600,K
739,A035610,K
740,A035620,K
741,A035720,Y
742,A035760,K
743,A035810,K
744,A035890,K
745,A035900,K
746,A036000,K
747,A036010,K
748,A036030,K
749,A036090,K
750,A036120,K
751,A036170,K
752,A036180,K
753,A036190,K
754,A036200,K
755,A036420,Y
756,A036460,Y
757,A036480,K
758,A036530,Y
759,A036540,K
760,A036560,K
761,A036570,Y
762,A036580,Y
763,A036620,K
764,A036630,K
765,A036640,K
766,A036670,K
767,A036690,K
768,A036710,K
769,A036800,K
770,A036810,K
771,A036830,K
772,A036890,K
773,A036930,K
774,A037030,K
775,A037070,K
776,A037230,K
777,A037270,Y
778,A037330,K
779,A037350,K
780,A037370,K
781,A037400,K
782,A037440,K
783,A037460,K
784,A037560,Y
785,A037710,Y
786,A037760,K
787,A037950,K
788,A038010,K
789,A038060,K
790,A038070,K
791,A038110,K
792,A038290,K
793,A038340,K
794,A038390,K
795,A038460,K
796,A038500,K
797,A038530,K
798,A038540,K
799,A038620,K
800,A038680,K
801,A038870,K
802,A038880,K
803,A038950,K
804,A039010,K
805,A039020,K
806,A039030,K
807,A039130,Y
808,A039200,K
809,A039240,K
810,A039290,K
811,A039310,K
812,A039340,K
813,A039420,K
814,A039440,K
815,A039490,Y
816,A039560,K
817,A039570,Y
818,A039610,K
819,A039740,K
820,A039830,K
821,A039840,K
822,A039860,K
823,A039980,K
824,A040160,K
825,A040300,K
826,A040350,K
827,A040420,K
828,A040610,K
829,A040910,K
830,A041020,K
831,A041190,K
832,A041440,K
833,A041460,K
834,A041510,K
835,A041520,K
836,A041590,K
837,A041650,Y
838,A041830,K
839,A041910,K
840,A041920,K
841,A041930,K
842,A041960,K
843,A042000,K
844,A042040,K
845,A042110,K
846,A042370,K
847,A042420,K
848,A042500,K
849,A042510,K
850,A042520,K
851,A042600,K
852,A042660,Y
853,A042670,Y
854,A042700,Y
855,A042940,K
856,A043090,K
857,A043100,K
858,A043150,K
859,A043200,K
860,A043220,K
861,A043260,K
862,A043340,K
863,A043360,K
864,A043370,K
865,A043590,K
866,A043610,K
867,A043650,K
868,A043710,K
869,A043910,K
870,A044060,K
871,A044180,K
872,A044340,K
873,A044380,Y
874,A044450,Y
875,A044480,K
876,A044490,K
877,A044780,K
878,A044820,Y
879,A044960,K
880,A045060,K
881,A045100,K
882,A045300,K
883,A045340,K
884,A045390,K
885,A045510,K
886,A045520,K
887,A045660,K
888,A045970,K
889,A046070,K
890,A046120,K
891,A046140,K
892,A046210,K
893,A046310,K
894,A046390,K
895,A046440,K
896,A046890,K
897,A046940,K
898,A046970,K
899,A047040,Y
900,A047050,Y
901,A047080,K
902,A047310,K
903,A047400,Y
904,A047560,K
905,A047770,K
906,A047810,Y
907,A047820,K
908,A047920,K
909,A048260,K
910,A048410,K
911,A048430,K
912,A048470,K
913,A048530,K
914,A048550,K
915,A048770,K
916,A048830,K
917,A048870,K
918,A048910,K
919,A049070,K
920,A049080,K
921,A049120,K
922,A049180,K
923,A049430,K
924,A049470,K
925,A049480,K
926,A049520,K
927,A049550,K
928,A049630,K
929,A049720,K
930,A049770,Y
931,A049800,Y
932,A049830,K
933,A049950,K
934,A049960,K
935,A050090,K
936,A050110,K
937,A050120,K
938,A050540,K
939,A050760,K
940,A050860,K
941,A050890,K
942,A050960,K
943,A051160,K
944,A051360,K
