,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,총자본,영업현금흐름/총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주변경카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액/총자본,상호변경카운트+업종변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액/총자본
2017-01,0.1974452972278284,0.17508997148774105,0.09190958580180572,0.12845848277766742,0.07914163199016427,0.1000418538596674,0.036681939344056044,0.061457650070023614,0.022859190185962358,0.03679464081628332,0.0188782503043046,0.024826702076398557,0.0012047902476458598,0.006266281726214691,0.012427068684670632,0.0021905930751959244,0.0002984955095998791,0.004027574814770203
2017-04,0.19542585168332552,0.16285947779292545,0.09522597758155424,0.12160563078169465,0.09679447622773146,0.09965102929072289,0.03860521756668614,0.062400972001581956,0.02147123739485449,0.04278368814299976,0.013398533306063254,0.023776839187953133,0.0017543580432349362,0.00685677728517426,0.011456514305168006,0.001498453622607236,0.00015580177710548118,0.004279164008616976
2017-07,0.1870057391123965,0.1645566809107442,0.09345676399527092,0.13177573932954695,0.08917243912791392,0.09739069387614896,0.03843819043815228,0.06354113175246844,0.021587277534575858,0.04136470779227476,0.014996422860911985,0.024296068434929007,0.004877852997836228,0.008670097025527814,0.008878301130884177,0.0034691181936544915,0.0009617476195208519,0.005561027867242659
2017-10,0.1847503759653558,0.1721822731794659,0.08933081317571599,0.12145316975759018,0.08065443881649685,0.09249203588256089,0.047758963223933186,0.06590670625104887,0.021038779763343857,0.05072970234800191,0.011665043814013117,0.019895047860351102,0.007559472887888809,0.008454644529112057,0.016961990902282814,0.003864994539107125,0.00044023209484265525,0.004861315008888863
2018-01,0.17551374924903929,0.1706489392441192,0.08757412361423528,0.12077298472965167,0.08589444716625112,0.09550045835757245,0.05050852654233175,0.06579806953546263,0.021942117290703726,0.04685186873437201,0.009582030263224942,0.020323790638217255,0.00842040928056947,0.009264511840852195,0.022096883691212012,0.0035221515574968515,0.0003954804606307764,0.005389457804057402
2018-04,0.16975397686613886,0.17099835211288336,0.07442364757387923,0.11348942473157675,0.1126281308267276,0.09565575557885232,0.049011521032777866,0.07116636951700071,0.017788729250454632,0.059746665938676544,0.012128906252779067,0.021772951796814037,0.007001369066520766,0.008105236539809439,0.005832340027558532,0.0048454652463966715,0.0005058740950798612,0.005145283546073765
2018-07,0.1776953235624642,0.1773803502624199,0.08307933765817525,0.1146629374994937,0.10586790619177316,0.09722537870823819,0.050575434263910174,0.06757307259154492,0.0185595004417099,0.04927420369332699,0.01021243022422747,0.019132660026273163,0.006749722521147971,0.006031099378013731,0.009116242700175362,0.0036354973319506884,0.00036907635640776433,0.0028598265887474802
2018-10,0.17652946348501383,0.18092457267305617,0.09142928922237298,0.12330381693013302,0.11274821992637414,0.08814831277789859,0.048406983661971444,0.06430328519085239,0.0186357023311079,0.04205472256055857,0.009687443478301685,0.02011727083972321,0.007434078317966068,0.004955789880974848,0.005076911611615074,0.0024997778091129697,0.001112305459380862,0.0026320538435862582
2019-01,0.1928724910022659,0.1944260772782878,0.09923499815204116,0.12014456673902643,0.09796803347022293,0.07953914021938807,0.04761585103160108,0.06296416081794354,0.019675092594125483,0.03962568390046803,0.009085410842663661,0.015499956204488474,0.006275395381991164,0.005101367431010819,0.003037654388720673,0.0027914032444878484,0.0009004376409807002,0.0032422796602863714
2019-04,0.18881995708262986,0.17470836463682116,0.1095270381893504,0.11898775759368266,0.08841210337913029,0.08105952793710718,0.05103311256142247,0.06131420746183164,0.022923105156865017,0.033117501703899425,0.011851806255907597,0.018857144289864847,0.0070066631506118535,0.008863971984193277,0.01527658822555785,0.003835387650846823,0.0006407651605272386,0.0037649975797504243
2019-07,0.1938513533342191,0.1896621369435991,0.10132686998226548,0.11280278535002089,0.0809418950979547,0.08191580961674942,0.053968303234986026,0.06570283205716247,0.02202480682226861,0.04113243485831058,0.012521282351905041,0.013242698247960826,0.003942148064261985,0.008028382854507386,0.010450634966515028,0.003560974857899227,0.0013120523932404723,0.003612598966173517
2019-10,0.20091131984675675,0.18741604217121538,0.09046702172709527,0.11193720961519057,0.09390007540346065,0.09902219390597584,0.04296707024562883,0.06812448961592835,0.018978766207588652,0.032566382144558835,0.01416019121372942,0.015485346897622997,0.0005050293493750473,0.0075213387481660645,0.008276798578329428,0.003528561662211753,0.0013404286277796215,0.002891734039386604
2020-01,0.20364646147910948,0.21143067195168944,0.0054842175271356325,0.13460498080294098,0.11178480814402995,0.08911174880829593,0.03466075869987894,0.06274836815697839,0.016216703012869812,0.031290522513641575,0.011673320044007817,0.06049486223168289,0.0046011646745631,0.004891446029165167,0.011565027134189458,0.0014066307149930896,0.0017593110185347872,0.0026289970562937567
2020-04,0.18356501287743646,0.18174051527197027,0.08927349850839142,0.11394717125553132,0.10716067291806883,0.09370591549146366,0.04176802701516307,0.06874039591522274,0.019307600422022186,0.04496573318998435,0.009898424518036306,0.015537234770915528,0.0021566019122931115,0.005087162630980781,0.01724312621960839,0.0029458730855594023,0.0012186342191454868,0.0017383997782067554
2020-07,0.18416339392504735,0.1786760060820398,0.08773174876309307,0.12205387321134212,0.09800038810259448,0.09591060959646613,0.04021020495566938,0.07090164756780946,0.01803070139634334,0.04857543254206673,0.008980752599046854,0.019253640980841914,0.0016551598306420265,0.004717833707462017,0.015557757826637873,0.0018948228295748346,0.001569196217493381,0.002116829865829233
2020-10,0.10834756410783711,0.15571914240199158,0.08829222272898353,0.05964275687775999,0.10991202744387298,0.04547392267985607,0.02264662540956391,0.2589786601319916,0.09342313232264263,0.0221617705161553,0.005904344612252734,0.019091719126690165,0.00016567673679351437,0.003470129794216724,0.00487210009725136,0.00029702153386124386,0.0005160573575249695,0.0010851261207545303
2021-01,0.18468831904184568,0.17494861700260905,0.10673216847291235,0.11999990303153005,0.08898368434090581,0.07301411706012917,0.059760893936978136,0.06288881159799367,0.022804856472264972,0.06761522414161177,0.005717250636902497,0.01775402877167645,7.204883274672471e-05,0.0032989866665479135,0.008734965590404604,0.0014789495800225717,0.00032362128630914914,0.0011835535366093678
