,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,차입금의존도,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,최대주주변경카운트,최대주주비율_변동성,상호변경카운트+업종변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2017-01,0.15261797890138895,0.13842438046576028,0.13015227969529608,0.11353975386322149,0.09757928353761791,0.10579497867499338,0.08025807468400259,0.08340364421094591,0.011360734567105665,0.0215317370858277,0.02612699461560007,0.01683730890923718,0.006014547040268447,0.011995455028509324,0.00036917523386999343,0.0007932020695289518,0.0008564219079291942,0.002344049508896876
2017-04,0.15411710891557193,0.13431049978955611,0.12814048749653958,0.11126124461757278,0.09727639198958503,0.10200242310777964,0.07669234922774505,0.08491262194375707,0.015496253481753854,0.02089944218052568,0.0313083666792399,0.016597605090145937,0.007472459945017834,0.011857035765448998,0.0006073359585653187,0.0014260409696641592,0.0019588469042142215,0.0036634859373169374
2017-07,0.15353430452193165,0.1322460469109693,0.11889397241980068,0.1035774961838152,0.09896810285451146,0.10353769385386707,0.07303253525342202,0.09210339211370162,0.013030686539130596,0.018408989047235615,0.029479941673842273,0.019407338405239765,0.010485185765108599,0.016449005150057195,0.001272707546453415,0.007295958791560855,0.003350380327037302,0.00492626264231541
2017-10,0.1430736949869918,0.11901415115355453,0.11811512430038067,0.10147985543369295,0.0866525443137193,0.09000487720733719,0.06990576379573521,0.10875842207493172,0.02216528270924234,0.017729014377987254,0.04604357795611696,0.01952812738906173,0.011119938245505152,0.024271141888018488,0.0013217847900377701,0.011399114738279582,0.003901086500301825,0.005516498139105594
2018-01,0.15437157320426478,0.1295355371382038,0.11958014734656633,0.0980731253989162,0.09820920050977729,0.09559510685099874,0.07072880062518674,0.10029065313836727,0.02103265849953861,0.018546554659486996,0.03744386592771338,0.010677208932669815,0.008682820435937,0.01842733748798063,0.000806008078738077,0.01066885737133384,0.0028696852598783782,0.004460859134442211
2018-04,0.15628175294475063,0.12229627571239572,0.131435973422863,0.10495548745545656,0.09802341130076156,0.09387892541183887,0.07813486865175498,0.08931053483568478,0.025679024606180333,0.018372387049250753,0.03753415295605458,0.011321449099017576,0.00663268104638294,0.006310991064705381,0.0006752665338777672,0.012671491662310425,0.0031229363664431378,0.0033623898802710847
2018-07,0.1585757039623177,0.13288410735124004,0.12859163341491517,0.1035454552322484,0.10323283902771448,0.09703967251532535,0.0851202162677539,0.07612117493966673,0.023340904878503006,0.02013529217082234,0.03000704269801559,0.008755774313650648,0.0035333367870890382,0.007348475766635114,0.0006068637878198085,0.016919391080085534,0.0023863744907786973,0.0018557413154186566
2018-10,0.13036710492405887,0.1173979559945014,0.1167864464528274,0.1069761414163419,0.07421872431927697,0.08610271750179808,0.0856381455142545,0.11358200307715637,0.05135754629586909,0.016955101028097264,0.04631126592578992,0.007679934266655005,0.006613005697762592,0.00901025392705072,0.0010196690304720747,0.022312178628762752,0.004623190237264395,0.0030486157620606465
2019-01,0.144787439078785,0.13365669255103935,0.11811555203147968,0.10039641638969181,0.08832732315656965,0.10586597046172681,0.07691416516340582,0.09547518716485279,0.02773919911046445,0.021316699360625982,0.034093713361495415,0.012204962390614516,0.00852295082382117,0.008041211843071721,0.0012085437133804997,0.016683878945710523,0.0032083938062952297,0.0034417006469696686
2019-04,0.14063098982644484,0.13280837122107805,0.11500756801622156,0.10157643822355349,0.08556781253547845,0.0991334067422473,0.08764218535136466,0.10186681722800507,0.03128456183520621,0.02125281314174205,0.027152058538779823,0.014075515470247171,0.01080712379938668,0.011430028969154786,0.0007668998475295079,0.013498335884319859,0.002938053696680813,0.0025610196725597795
2019-07,0.14005747011642372,0.12326580675137792,0.12489764100490379,0.10761396877352851,0.07670958921703534,0.08916662053203042,0.07927067121512997,0.10023937862430103,0.0443634214032194,0.018785154962995942,0.033937867779446,0.013058795813291436,0.011604861833028734,0.012483460689414883,0.0018064201221694174,0.0169296257175959,0.0032634492691473354,0.0025457961749603413
2019-10,0.1547768791076467,0.13339093128861335,0.1141815353857781,0.09440659063332552,0.09222940937397134,0.10203435761483226,0.08848426316745858,0.09404461245134849,0.031493695835258205,0.020742787804215512,0.0289251550084043,0.01445562547963217,0.009852302233798026,0.00835655899194901,0.0018505303268185934,0.006537638571185052,0.0020248544640993115,0.002212272261665522
2020-01,0.16959029943605733,0.1401657965047125,0.11608607729086354,0.08704734441967407,0.1089848994142513,0.11851611124464559,0.1013223048984391,0.07029937550339323,0.01349514462020267,0.022570285702918774,0.019889309365354026,0.01055457875882857,0.0050726019703211805,0.010447194134926004,0.0010740909592701442,0.0018489991580173662,0.001138471084026971,0.0018971155340975474
2020-04,0.1645430230212134,0.1436464516328154,0.12033776049287868,0.08281358151455533,0.11090942463950622,0.12505926870658954,0.10747862870329357,0.0640916263656739,0.00897401868366941,0.026314748701639797,0.019959505436585905,0.007404390697740367,0.004472462292854571,0.009031707029657079,0.0011926052260813117,0.0015069872802785528,0.0010532151472457715,0.0012105944277213518
2020-07,0.16156886355509495,0.13516985493271513,0.12591001636543941,0.09698686036763438,0.10373826623671775,0.11604148042917668,0.11151614814481448,0.06910832710622947,0.011957143842208137,0.023313888730925367,0.025532590815062754,0.006875273820902451,0.003272426195835919,0.0036528130688179986,0.0012861536713880911,0.0010717462702332532,0.0019526593037962835,0.0010454871430074409
2020-10,0.15982376528944608,0.1371205703707989,0.12777727812125467,0.10736050212963333,0.10108310418890804,0.1127933281085648,0.10256877737693218,0.06504251031478354,0.015065665639314517,0.023446022422523877,0.03124382249075109,0.004619005398747893,0.003268697786565381,0.003659619397662936,0.0008203779591894867,0.001193050820951162,0.002027938995498018,0.0010859631884740978
2021-01,0.15124478863579613,0.1293780498665695,0.13158403515235964,0.12029487891560835,0.09008119820136995,0.10375513588736117,0.09244949710644661,0.07632020241768399,0.02942486239402707,0.021280741754542202,0.03848005602574372,0.004084826690203156,0.0030411229098564136,0.003142294854853896,0.0006381825263898845,0.001325764824543422,0.0024140432820106755,0.0010603185546342842
